Unique donor ID,Total donations in 2017,Total donations in 2018,Total donations in 2019,Total donations in 2020,Total donations in 2021,Totan donations in 2022,Total donations in 2023,Amount of first donation,Date of first donation,Was their first donation an automatically-recurring transaction?,Amount of last donation,Date of last donation,Year with the most dollars donated,Highest amount donated in one year
0031Y00005epTLwQAM,$0.00,$0.00,$8.00,$0.00,$0.00,$0.00,$0.00,$2.00,3/1/2019,0,$2.00,3/10/2019,2019,$8.00
0031Y000054JeJUQA0,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,000.00",12/27/2017,0,"$2,000.00",12/27/2017,2017,"$2,000.00"
0031Y000054JeJYQA0,$53.00,$0.00,$0.00,$800.00,$0.00,$500.00,$0.00,$52.50,12/16/2017,0,$206.00,3/3/2024,2020,$800.00
0031Y00005xnJ3aQAE,$0.00,$0.00,"$1,000.00",$0.00,$0.00,$0.00,$0.00,"$1,000.00",12/30/2019,0,"$1,000.00",12/30/2019,2019,"$1,000.00"
0031Y00005xnPSaQAM,$0.00,$0.00,"$1,000.00","$1,100.00","$2,200.00","$3,090.00","$3,090.00","$1,000.00",12/30/2019,0,"$3,090.00",12/29/2023,2022,"$3,090.00"
0031Y000054HRFSQA4,$123.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$123.19,3/31/2017,0,$123.19,3/31/2017,2017,$123.19
0031Y000054JAMOQA4,$360.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$30.00,2/8/2017,0,$30.00,1/8/2018,2017,$360.00
0031Y00005WVMQvQAP,$0.00,$550.00,"$1,100.00",$550.00,$550.00,$0.00,"$1,030.00",$250.00,12/22/2018,0,"$1,030.00",12/18/2023,2019,"$1,100.00"
0031Y000054JAMfQAO,$1.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.00,11/24/2017,0,$1.00,11/24/2017,2017,$1.00
0031Y000054HRFzQAO,"$5,195.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$755.98,4/5/2017,0,$199.79,1/23/2018,2017,"$5,195.14"
0031Y00005WW16WQAT,$0.00,"$3,300.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$3,300.00",1/14/2019,0,"$3,300.00",1/14/2019,2018,"$3,300.00"
0031Y00005WW18bQAD,$0.00,$30.00,$360.00,$150.00,$360.00,$360.00,$360.00,$30.00,1/6/2019,1,$30.00,5/6/2024,2019,$360.00
003i000004ccJtoAAE,"$1,067.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$122.95,6/28/2017,0,$141.78,1/31/2018,2017,"$1,066.86"
0031Y000054JeKlQAK,"$2,413.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,413.00",10/26/2017,0,"$2,413.00",10/26/2017,2017,"$2,413.00"
0031Y00006GMa4qQAD,$0.00,$0.00,$0.00,$100.00,$0.00,$0.00,$0.00,$100.00,12/22/2020,0,$100.00,12/22/2020,2020,$100.00
0031Y00005epy7dQAA,$0.00,$0.00,$55.00,$60.00,$45.00,$0.00,$0.00,$5.00,3/6/2019,1,$5.00,10/6/2021,2020,$60.00
0031Y00005WVNU2QAP,$0.00,$110.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,12/22/2018,0,$10.00,12/22/2018,2018,$110.00
0031Y000054HRH2QAO,$25.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.20,4/10/2017,0,$25.20,4/10/2017,2017,$25.20
0031Y00005xqo0OQAQ,$0.00,$0.00,"$1,000.00",$0.00,$0.00,$0.00,$0.00,"$1,000.00",12/31/2019,0,"$1,000.00",12/31/2019,2019,"$1,000.00"
0031Y00005eq0QLQAY,$0.00,$0.00,$22.00,$0.00,$0.00,$0.00,$0.00,$20.00,3/7/2019,0,$2.00,3/7/2019,2019,$22.00
0031Y000054JeOXQA0,$304.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$60.33,9/4/2017,0,$60.33,1/2/2018,2017,$303.98
0031Y00005WW5b9QAD,$0.00,$40.00,$100.00,$440.00,$50.00,$0.00,$0.00,$40.00,1/7/2019,0,$50.00,6/20/2021,2020,$440.00
0031Y00005WVO6AQAX,$0.00,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,12/23/2018,0,$40.00,12/23/2018,2018,$40.00
0031Y000054HRHQQA4,$10.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.00,4/12/2017,0,$10.00,4/12/2017,2017,$10.00
0031Y00005xr7kXQAQ,$0.00,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$100.00,12/31/2019,0,$100.00,12/31/2019,2019,$100.00
0031Y00004ilsTXQAY,$160.00,$240.00,$240.00,$270.00,$600.00,$600.00,$600.00,$40.00,5/28/2017,1,$50.00,5/5/2024,2021,$600.00
0031Y00005WW8oUQAT,$0.00,$5.00,$10.00,$0.00,$0.00,$0.00,$0.00,$5.00,1/8/2019,0,$10.00,4/22/2019,2019,$10.00
003i000004dgnrTAAQ,$55.00,$25.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,4/16/2017,0,$25.00,4/29/2018,2017,$55.00
0031Y00005eq6i4QAA,$0.00,$0.00,$1.00,$0.00,$0.00,$0.00,$0.00,$1.00,3/10/2019,0,$1.00,3/10/2019,2019,$1.00
0031Y00005WW9pmQAD,$0.00,$33.00,$363.00,$0.00,$0.00,$0.00,$0.00,$10.00,1/8/2019,1,$33.00,12/8/2019,2019,$363.00
0031Y00005xrFeGQAU,$0.00,$0.00,$500.00,$0.00,$0.00,$0.00,$0.00,$500.00,12/31/2019,0,$500.00,12/31/2019,2019,$500.00
0031Y000054JePEQA0,"$7,305.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,413.00",3/6/2017,0,"$2,446.00",1/10/2018,2017,"$7,305.00"
0031Y00005xrLB6QAM,$0.00,$0.00,$146.00,$97.10,$0.00,$0.00,$0.00,$48.55,11/1/2019,0,$48.55,6/15/2020,2019,$145.65
0031Y00005xrMsjQAE,$0.00,$0.00,$108.00,$840.00,"$5,000.00","$1,085.40",$680.04,$108.00,12/31/2019,0,$111.24,9/24/2023,2021,"$5,000.00"
0031Y000054JAOzQAO,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,000.00",12/31/2017,0,"$2,000.00",12/31/2017,2017,"$2,000.00"
003i000004dhzyUAAQ,$250.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$250.00,4/18/2017,0,$250.00,4/18/2017,2017,$250.00
0031Y00005WVOjfQAH,$0.00,$37.00,$0.00,$0.00,$0.00,$0.00,$0.00,$37.00,12/23/2018,0,$37.00,12/23/2018,2018,$37.00
0031Y000054HRIRQA4,$50.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,4/16/2017,0,$50.00,4/16/2017,2017,$50.00
0031Y000054HRIUQA4,$50.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,4/17/2017,0,$50.00,4/17/2017,2017,$50.00
0031Y000054JAPIQA4,$24.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$24.00,4/18/2017,0,$24.00,4/18/2017,2017,$24.00
0031Y00005xrYiJQAU,$0.00,$0.00,$40.00,$0.00,$0.00,$0.00,$0.00,$10.00,11/19/2019,0,$10.00,11/19/2019,2019,$40.00
0031Y000054JePwQAK,$607.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$120.65,9/20/2017,0,$122.55,1/22/2018,2017,$606.89
0031Y000054JePzQAK,"$12,230.00",$0.00,$0.00,$0.00,"$11,049.00",$0.00,"$10,517.00","$6,115.00",12/22/2017,0,"$10,517.00",12/19/2023,2017,"$12,230.00"
0031Y00005eqGA5QAM,$0.00,$0.00,$2.00,$0.00,$0.00,$0.00,$0.00,$2.00,3/13/2019,0,$2.00,3/13/2019,2019,$2.00
0031Y00005WVOzxQAH,$0.00,$50.00,$55.00,$0.00,$0.00,$0.00,$0.00,$50.00,12/23/2018,0,$55.00,1/2/2020,2019,$55.00
0031Y00004imCa5QAE,$25.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,6/3/2017,0,$25.00,6/3/2017,2017,$25.00
0031Y000054JeQLQA0,$515.00,$0.00,"$1,000.00",$0.00,"$1,200.00",$0.00,$0.00,$515.34,12/11/2017,0,$200.00,11/9/2021,2021,"$1,200.00"
0031Y00005eqLagQAE,$0.00,$0.00,$20.00,$0.00,$0.00,$0.00,$0.00,$20.00,3/14/2019,0,$20.00,3/14/2019,2019,$20.00
0031Y00004imCzUQAU,$80.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.00,6/3/2017,1,$10.00,11/3/2018,2018,$100.00
0031Y00005WVPX9QAP,$0.00,$18.00,$0.00,$0.00,$0.00,$0.00,$0.00,$17.53,12/24/2018,0,$17.53,12/24/2018,2018,$17.53
0031Y00005eqMhgQAE,$0.00,$0.00,$26.00,$0.00,$0.00,$0.00,$0.00,$26.00,3/15/2019,0,$26.00,3/15/2019,2019,$26.00
0031Y00005Jml4VQAR,$0.00,$378.00,$63.00,$0.00,$0.00,$0.00,$0.00,$62.27,8/17/2018,0,$62.73,2/16/2019,2018,$378.07
0031Y000054HRJfQAO,$20.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.00,4/21/2017,0,$20.00,4/21/2017,2017,$20.00
0031Y000054JAQQQA4,"$1,300.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$300.00,5/20/2017,0,"$1,000.00",12/28/2017,2017,"$1,300.00"
0031Y00005JmlyZQAR,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,8/17/2018,0,$100.00,8/17/2018,2018,$100.00
0031Y000054JAQTQA4,"$1,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$300.00,8/20/2017,0,$300.00,1/20/2018,2017,"$1,800.00"
0031Y000054JAQUQA4,$400.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,3/6/2017,0,$100.00,5/19/2017,2017,$400.00
003i000004f2f3QAAQ,$700.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,4/24/2017,0,$100.00,4/24/2017,2017,$700.00
0031Y000054JeRDQA0,$182.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$60.33,11/7/2017,0,$60.23,1/7/2018,2017,$181.70
0031Y00005Jmpo9QAB,$0.00,$600.00,"$1,200.00",$900.00,$0.00,$0.00,$0.00,$100.00,8/19/2018,1,$100.00,10/19/2020,2019,"$1,200.00"
0031Y00005JmppSQAR,$0.00,$132.00,$264.00,$264.00,$264.00,$264.00,$876.20,$20.00,8/19/2018,1,$101.60,4/5/2024,2023,$876.20
0031Y00005eqYU0QAM,$0.00,$0.00,$108.00,$0.00,$0.00,$0.00,$0.00,$12.00,3/19/2019,1,$12.00,11/19/2019,2019,$108.00
0031Y00005JmupRQAR,$0.00,$9.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.00,8/20/2018,0,$1.00,8/20/2018,2018,$9.00
0031Y00005xs4HIQAY,$0.00,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$100.00,12/31/2019,0,$100.00,12/31/2019,2019,$100.00
0031Y00005xs7TKQAY,$0.00,$0.00,$400.00,$0.00,$200.00,$0.00,$250.00,$400.00,12/31/2019,0,$250.00,12/31/2023,2019,$400.00
0031Y00005WWRkkQAH,$0.00,$2.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.50,1/14/2019,0,$1.50,1/14/2019,2018,$1.50
0031Y000054HRKvQAO,$32.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$31.85,4/25/2017,0,$31.85,4/25/2017,2017,$31.85
0031Y000054HRKzQAO,$74.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$73.83,4/25/2017,0,$73.83,4/25/2017,2017,$73.83
0031Y00005xsFoDQAU,$0.00,$0.00,$300.00,"$6,791.00",$0.00,$0.00,$0.00,$300.00,12/31/2019,0,"$6,691.00",12/28/2020,2020,"$6,791.00"
0031Y00005xsFoEQAU,$0.00,$0.00,"$1,500.00",$0.00,$0.00,$0.00,$0.00,"$1,500.00",12/31/2019,0,"$1,500.00",12/31/2019,2019,"$1,500.00"
0031Y000054HRLBQA4,$100.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,4/26/2017,0,$100.00,12/20/2018,2017,$100.00
0031Y000054JeSYQA0,$24.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$12.07,5/22/2017,0,$11.61,12/28/2017,2017,$23.67
0031Y00005xscwhQAA,$0.00,$0.00,$210.00,$600.00,$600.00,$600.00,$600.00,$50.00,12/31/2019,1,$50.00,4/29/2024,2020,$600.00
0031Y000054HRLUQA4,$164.00,$226.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,4/26/2017,0,$17.50,1/14/2019,2018,$225.50
0031Y00005JnCyZQAV,$0.00,$2.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.50,8/24/2018,0,$1.50,8/24/2018,2018,$1.50
0031Y00004imjVrQAI,"$1,462.00","$1,800.00",$150.00,$0.00,$0.00,$0.00,$0.00,$178.00,6/12/2017,0,$150.00,2/28/2019,2018,"$1,800.00"
0031Y00005eqtUcQAI,$0.00,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$100.00,3/23/2019,0,$100.00,3/23/2019,2019,$100.00
0031Y00004imjvgQAA,$500.00,$200.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,5/13/2017,0,$50.00,5/12/2018,2017,$500.00
0031Y00005JnGTLQA3,$0.00,$20.00,$0.00,$50.00,$0.00,$0.00,$0.00,$10.00,8/25/2018,1,$50.00,2/29/2020,2020,$50.00
0031Y00005xsxjHQAQ,$0.00,$0.00,$500.00,$0.00,$0.00,$0.00,$0.00,$500.00,12/31/2019,0,$500.00,12/31/2019,2019,$500.00
0031Y00005xt0KFQAY,$0.00,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$100.00,12/31/2019,0,$100.00,12/31/2019,2019,$100.00
0031Y000054JASxQAO,$100.00,"$4,458.00","$1,200.00",$750.00,$0.00,$0.00,$0.00,$100.00,1/9/2018,0,$100.00,8/9/2020,2018,"$4,458.22"
003i000004gt5XCAAY,$50.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,5/5/2017,0,$25.00,11/28/2017,2017,$50.00
0031Y000054HRMLQA4,$65.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$64.66,4/28/2017,0,$64.66,4/28/2017,2017,$64.66
0031Y000054JAT5QAO,$50.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,11/7/2017,0,$50.00,11/7/2017,2017,$50.00
0031Y00005xtHKIQA2,$0.00,$0.00,"$1,000.00","$1,000.00","$2,000.00","$2,000.00",$0.00,"$1,000.00",12/31/2019,0,"$2,000.00",12/30/2022,2021,"$2,000.00"
0031Y00005JnOwAQAV,$0.00,$50.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,8/28/2018,0,$50.00,8/28/2018,2018,$50.00
0031Y00005WWmm4QAD,$0.00,$83.00,$0.00,$0.00,$0.00,$0.00,$0.00,$33.00,1/18/2019,0,$50.00,1/18/2019,2018,$83.00
0031Y00005xtX9xQAE,$0.00,$0.00,$580.00,$0.00,$500.00,$0.00,$0.00,$580.00,12/31/2019,0,$500.00,12/26/2021,2019,$580.00
0031Y00005CVXpdQAH,$41.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$41.38,1/22/2018,0,$41.38,1/22/2018,2017,$41.38
0031Y00005JnS2uQAF,$0.00,$29.00,$0.00,$0.00,$0.00,$0.00,$0.00,$29.36,8/29/2018,0,$29.36,8/29/2018,2018,$29.36
003i000004hM3tiAAC,"$1,100.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,4/25/2017,0,$25.00,6/22/2017,2017,"$1,100.00"
0031Y00005WWoycQAD,$0.00,$34.00,$0.00,$200.00,$300.00,$300.00,$25.00,$34.00,1/20/2019,0,$25.00,2/7/2023,2021,$300.00
0031Y00005erDjvQAE,$0.00,$0.00,$25.00,$0.00,$0.00,$0.00,$0.00,$25.00,3/28/2019,0,$25.00,3/28/2019,2019,$25.00
0031Y00005JnSu8QAF,$0.00,$1.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.00,8/29/2018,0,$1.00,8/29/2018,2018,$1.00
0031Y00005CVXsIQAX,$14.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$13.79,1/17/2018,0,$13.79,1/17/2018,2017,$13.79
003i000004hM7QVAA0,$400.00,$0.00,$250.00,$0.00,$0.00,$0.00,$0.00,$200.00,4/25/2017,0,$250.00,1/9/2020,2017,$400.00
0031Y00005io76pQAA,$0.00,$0.00,$20.00,$0.00,$0.00,$0.00,$0.00,$20.00,4/25/2019,0,$20.00,4/25/2019,2019,$20.00
0031Y00005erGugQAE,$0.00,$0.00,$110.00,$0.00,$0.00,$0.00,$0.00,$100.00,3/29/2019,0,$10.00,3/29/2019,2019,$110.00
003i000004hM7qxAAC,$560.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,4/25/2017,0,$20.00,9/22/2017,2017,$560.00
0031Y00005JnXg7QAF,$0.00,$10.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.00,8/30/2018,0,$10.00,8/30/2018,2018,$10.00
0031Y00005io9OgQAI,$0.00,$0.00,$5.00,$0.00,$0.00,$0.00,$0.00,$4.00,4/26/2019,0,$1.00,4/26/2019,2019,$5.00
0031Y00005WWrQQQA1,$0.00,$45.00,$540.00,$225.00,$0.00,$0.00,$0.00,$5.00,1/21/2019,1,$45.00,6/21/2020,2019,$540.00
0031Y00005JnZ3YQAV,$0.00,$700.00,$0.00,$0.00,$0.00,$0.00,$0.00,$500.00,8/30/2018,0,$200.00,11/16/2018,2018,$700.00
0031Y00005WWrpSQAT,$0.00,$200.00,$0.00,$0.00,$0.00,$0.00,$0.00,$200.02,1/21/2019,0,$200.02,1/21/2019,2018,$200.02
0031Y000054JAUnQAO,$60.00,$110.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.00,8/8/2017,0,$10.00,12/8/2018,2018,$110.00
0031Y00005CVY1ZQAX,$308.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$308.40,3/2/2017,0,$308.40,3/2/2017,2017,$308.40
0031Y00005erISVQA2,$0.00,$0.00,$0.00,$390.25,$0.00,$0.00,$0.00,$390.25,12/22/2020,0,$390.25,12/22/2020,2020,$390.25
0031Y000054HROVQA4,$985.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$367.50,5/8/2017,0,$158.46,1/19/2018,2017,$985.26
0031Y000054HROWQA4,$600.00,"$1,300.00",$0.00,$100.00,$540.00,$720.00,$720.00,$250.00,5/8/2017,0,$180.00,2/11/2024,2018,"$1,300.00"
0031Y000054HROZQA4,$25.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,5/8/2017,0,$25.00,5/8/2017,2017,$25.00
0031Y00004in5DLQAY,"$4,000.00","$1,500.00","$7,976.00",$0.00,$0.00,$0.00,$0.00,"$1,000.00",6/20/2017,1,"$7,976.42",12/27/2019,2019,"$7,976.42"
0031Y000054HROdQAO,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,5/9/2017,0,$100.00,5/9/2017,2017,$100.00
0031Y00005CVY50QAH,$15.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$14.80,3/2/2017,0,$14.80,3/2/2017,2017,$14.80
0031Y00005JnftFQAR,$0.00,$250.00,$600.00,$600.00,"$1,150.00","$1,200.00","$1,200.00",$50.00,9/1/2018,1,$100.00,5/1/2024,2022,"$1,200.00"
0031Y00005ioCqlQAE,$0.00,$0.00,$5.00,$0.00,$0.00,$0.00,$0.00,$5.00,4/28/2019,0,$5.00,4/28/2019,2019,$5.00
0031Y00005xwQfdQAE,$0.00,$0.00,$5.00,$60.00,$60.00,$60.00,$60.00,$5.00,1/1/2020,1,$5.00,5/1/2024,2020,$60.00
003i000004iQh5UAAS,$5.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,5/18/2017,0,$5.00,5/18/2017,2017,$5.00
0031Y00005xxSVtQAM,$0.00,$0.00,$50.00,$0.00,$0.00,$0.00,$0.00,$50.00,1/1/2020,0,$50.00,1/1/2020,2019,$50.00
0031Y00004inDu9QAE,$440.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$400.00,6/22/2017,0,$40.00,6/22/2017,2017,$440.00
003i000004iR5HpAAK,$370.00,$333.00,$392.00,$0.00,$0.00,$0.00,$0.00,$370.07,5/18/2017,0,$35.89,4/8/2019,2019,$392.17
0031Y000054HRP7QAO,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,5/13/2017,0,$100.00,5/13/2017,2017,$100.00
0031Y00004inPE0QAM,$23.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$21.00,6/23/2017,0,$2.10,6/23/2017,2017,$23.10
0031Y00005y0tqWQAQ,$0.00,$0.00,$288.00,"$3,456.00","$5,995.00","$3,774.00",$0.00,$288.00,1/2/2020,1,$629.00,1/9/2023,2021,"$5,995.00"
0031Y00005CVYDqQAP,$129.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$129.22,5/2/2017,0,$129.22,5/2/2017,2017,$129.22
0031Y00004inR1kQAE,$1.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.00,6/25/2017,0,$1.00,6/25/2017,2017,$1.00
0031Y00004wbud6QAA,$12.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$11.79,11/20/2017,0,$11.79,11/20/2017,2017,$11.79
0031Y00005WX4v9QAD,$0.00,$70.00,$7.00,$0.00,$0.00,$0.00,$0.00,$70.00,1/24/2019,0,$6.60,5/12/2019,2018,$70.00
0031Y000054HRPfQAO,$400.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$400.48,5/16/2017,0,$400.48,5/16/2017,2017,$400.48
0031Y00004wbvGbQAI,$4.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.00,11/20/2017,0,$4.00,11/20/2017,2017,$4.00
0031Y00005WX6EOQA1,$0.00,$50.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,1/24/2019,0,$25.00,1/24/2019,2018,$50.00
0031Y00005ioJASQA2,$0.00,$0.00,$10.00,$0.00,$0.00,$0.00,$0.00,$5.00,4/24/2019,0,$5.00,4/24/2019,2019,$10.00
0031Y00004inWTIQA2,$34.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.00,6/27/2017,0,$2.00,6/27/2017,2017,$34.00
0031Y00004wbwGbQAI,$28.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,11/20/2017,0,$23.47,11/22/2017,2017,$28.47
0031Y00005erUPRQA2,$0.00,$0.00,$330.00,$40.00,$0.00,$550.00,$0.00,$100.00,4/4/2019,0,$550.00,4/25/2022,2022,$550.00
0031Y00005y6ySxQAI,$0.00,$0.00,$334.00,$0.00,$0.00,$0.00,$0.00,$334.00,1/3/2020,0,$334.00,1/3/2020,2019,$334.00
0031Y00005ioLDrQAM,$0.00,$0.00,$400.00,$0.00,$0.00,$0.00,$0.00,$400.00,5/1/2019,0,$400.00,5/1/2019,2019,$400.00
0031Y00004wbxxdQAA,$5.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,11/21/2017,0,$5.00,11/21/2017,2017,$5.00
0031Y00005y8cxWQAQ,$0.00,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$100.00,1/3/2020,0,$100.00,1/3/2020,2019,$100.00
0031Y000054HRQSQA4,$500.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$500.00,5/26/2017,0,$500.00,5/26/2017,2017,$500.00
0031Y00005WXB3OQAX,$0.00,$312.00,$0.00,$0.00,$0.00,$0.00,$0.00,$312.00,1/26/2019,0,$312.00,1/26/2019,2018,$312.00
0031Y00005y9mytQAA,$0.00,$0.00,$75.00,$0.00,$0.00,$0.00,$0.00,$75.00,1/3/2020,0,$75.00,1/3/2020,2019,$75.00
0031Y000054JAZ6QAO,$60.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$60.00,12/30/2017,0,$60.00,12/30/2017,2017,$60.00
0031Y00005yAuUNQA0,$0.00,$0.00,$88.00,"$1,081.00",$264.00,$0.00,$0.00,$88.00,1/3/2020,1,$88.00,4/3/2021,2020,"$1,081.00"
